"CustomerID","ProductID_1_sum","ProductID_2_sum","ProductID_3_sum","ProductID_4_sum","ProductID_5_sum","ProductID_6_sum","ProductID_7_sum","ProductID_8_sum","Pattern_0000010_sum","Pattern_0000100_sum","Pattern_0001000_sum","Pattern_0010000_sum","Pattern_0100010_sum","Pattern_1000010_sum","Pattern_1001010_sum","Pattern_1111110_sum","PaymentType_BT_sum","PaymentType_DD_sum","PaymentStatus_Paid_sum","PaymentStatus_Not.Paid_sum","StartDate_rec","RenewalDate_rec","PaymentDate_rec","NbrNewspapers_mean","NbrStart_mean","GrossFormulaPrice_mean","NetFormulaPrice_mean","NetNewspaperPrice_mean","ProductDiscount_mean","FormulaDiscount_mean","TotalDiscount_mean","TotalPrice_mean","TotalCredit_mean","Gender","District","ZIP","StreeID","Age","churn"
"1012561",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,62,67,54,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"F","7","9190","70618",61,"1"
"1012984",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,60,62,47,44,12.5,44.74,27,0.355263,0,17.74,17.74,27,0,"M","7","9100","68706",50,"1"
"1013062",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,62,68,54,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"F","1","2560","23719",61,"0"
"1013184",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,101,NA,87,152,25,144,88,0.578947,0,56,56,88,0,"F","7","9170","70279",61,"1"
"101454",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,243,273,255,304,16.6666666666667,237.666666666667,237.666666666667,0.780687666666667,0,0,0,237.333333333333,-0.333333333333333,"M","5","3770","44677",64,"0"
"101481",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,335,364,341,304,16.6666666666667,237.666666666667,237.666666666667,0.780685666666667,0,0,0,237.333333333333,-0.333333333333333,"M","5","3770","44852",61,"0"
"1015231",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,31,34,34,66,17.5,66.868421,53,0.759512,0,13.868421,13.868421,53,0,"F","1","2500","22559",61,"0"
"1015557",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,86,NA,89,304,25,259,259,0.851974,0,0,0,259,0,"M","1","2370","19762",61,"1"
"1015972",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,48,53,53,61,11.6666666666667,54.5394735,38.5,0.469512,0,16.0394735,16.0394735,38.5,0,"F","1","2650","25392",61,"0"
"1016105",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,0,55,60,39,50.5,12.5,51.5,27,0.355263,0,24.5,24.5,27,0,"F","1","2450","21432",61,"1"
"1016126",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,32,34,27,107,17.5,103.013158,86.5,0.7290245,0,16.513158,16.513158,86.5,0,"M","5","3800","45206",30,"0"
"1016421",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,77,NA,89,152,25,144,72,0.473684,0,72,72,72,0,"M","1","2650","25464",50,"1"
"1016426",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,77,NA,89,152,25,144,72,0.473684,0,72,72,72,0,"F","1","2100","14643",45,"1"
