"","host_id","accommodates","review_scores_rating","distance","demand","entire_home","washer_drier","superhost","response","price_pp"
"86",1,2,88,8.64600326315488,9.9,0,0,0,74,50
"87",1,2,98,7.8713431461959,10.89,1,1,1,100,92.5
"88",1,3,82,8.54824746398957,7.2,0,1,0,74,45.6666666666667
"89",1,1,95,5.76891811080723,26.7,0,0,0,89,175
"90",1,2,98,4.69246268865161,9.9,1,1,1,100,120
"91",0,4,94,3.58478761220302,4.8,1,1,1,100,63.25
"92",1,3,78,8.53424604842544,6,0,1,0,74,36.6666666666667
"93",1,1,97,3.11299643830309,5.1,1,0,0,NA,325
"94",1,1,97,3.4000809306929,0.94,0,0,1,100,145
"95",1,2,97,8.87420937220828,2.4,1,1,1,100,120
"96",1,2,95,5.86552494803035,12.45,1,0,1,100,80
"97",1,2,99,7.02224218077539,6.82,0,0,1,100,72.5
"98",1,6,95,5.82745442201202,28.5,1,1,0,NA,65.1666666666667
"99",1,5,100,5.78916109321466,0.44,1,1,0,100,90
"100",1,1,80,9.05430964761164,6.75,0,1,0,100,170
"101",1,2,99,2.52930543187753,17.4,1,1,0,100,140
"102",1,4,94,9.26910042444833,7.06,1,0,1,100,63.75
"103",0,4,94,10.5902466400378,2.7,1,1,0,100,72.5
"104",1,1,97,5.33716274359507,5.57,0,0,1,100,125
"105",1,4,98,0.858164150141994,3,1,1,1,100,72.5
"106",1,2,99,4.29868566030195,11.7,1,0,0,NA,175
"107",1,5,97,5.03987944775718,24.6,1,1,0,93,55
"108",1,3,99,5.68798153458046,4.44,1,1,1,100,182.666666666667
"109",0,2,98,5.80642765921671,24.9,1,1,1,100,98.5
"110",1,2,96,7.60678025732011,1.27,0,0,1,100,57
"111",1,4,97,0.872893219148708,2.1,1,1,0,100,107.5
"112",1,6,94,5.95986777595813,0.68,1,1,0,NA,125
"113",0,10,NA,4.7001852089962,0,1,1,0,100,59.4
"114",1,2,98,6.80290760737884,5.08,0,0,1,100,86
"115",0,2,96,6.93325164306029,4.2,1,1,0,100,117.5
"116",1,8,98,5.92159420485131,1.35,1,1,0,100,200
"117",1,3,93,1.59993041191864,19.5,1,0,0,100,100
"118",1,2,99,5.69140072858111,3.15,0,1,0,100,100
"119",1,2,97,7.70484760427193,2.96,0,0,1,100,67.5
"120",1,4,98,6.15710509354013,7.8,1,1,1,100,137.25
"121",1,6,99,4.63066035797359,0.95,1,1,0,NA,70.8333333333333
"122",0,2,99,5.52746276068143,6.81,0,1,1,100,52.5
"123",1,2,97,8.5107630310493,17.7,0,1,1,100,61.5
"124",1,2,87,2.28565584609497,7.2,1,0,1,100,132.5
"125",1,2,94,2.2628921837864,15,1,1,1,100,145
"126",1,2,83,8.53083661147928,3.3,0,1,0,74,40.5
"127",0,4,97,1.52359319938512,18.6,1,1,0,90,52.5
"128",1,2,93,5.86918543522175,6,1,1,0,100,130
"129",1,4,97,8.15387601452467,7.89,1,1,1,100,90
"130",1,2,98,7.72414433953675,3.4,0,0,1,100,67.5
"131",1,2,98,1.18852739998929,2.4,1,0,1,100,120
"132",1,2,97,4.7976135630116,9.56,1,0,1,100,90.5
"133",1,1,99,6.9629689295705,9.9,0,1,1,89,100
"134",0,2,100,1.23978852944026,3.3,1,1,0,NA,203.5
"135",1,8,96,7.28426493675315,7.7,1,1,1,100,59.625
"136",1,1,96,6.92894485935072,9.3,0,1,1,100,178
"137",1,2,96,0.685076067234401,14.19,1,0,1,100,112.5
"138",1,2,93,4.96492269193704,4.75,0,0,0,100,64.5
"139",1,4,100,5.89041183248282,4.3,1,1,0,100,107
"140",1,4,91,4.96371047553101,4.44,0,0,0,100,47
"141",1,2,89,4.92141678076418,4.87,0,0,0,100,57.5
"142",1,6,96,5.48047493285151,11.7,1,1,1,NA,95.8333333333333
"143",0,2,99,7.13873118391401,2.45,1,1,0,100,116
"144",1,2,97,9.18516085290626,5.16,0,0,0,100,62.5
"145",1,4,93,5.39205352448046,13.5,1,0,0,83,51.25
"146",1,2,89,5.06249416586017,4.31,0,0,0,100,57.5
"147",0,6,95,0.6116467885475,4.1,0,1,0,100,73.1666666666667
"148",1,2,98,5.85949257033316,2.2,1,1,1,100,125
"149",1,2,96,4.55407333259721,5.88,0,0,1,NA,67
"150",0,3,93,2.05259870209546,3.63,0,1,0,96,45
"151",1,4,97,7.76702583251338,5.7,1,1,0,100,77.5
"152",1,10,88,1.9852004267497,1.34,1,1,0,100,158.9
"153",1,4,99,6.15023034770344,24,1,1,1,100,118.75
"154",0,3,96,0.579356793699168,4.4,0,1,0,100,79.6666666666667
"155",1,4,95,10.5997396485869,6.27,1,0,1,100,67.5
"156",0,4,93,2.09245900493228,3.26,0,1,0,96,45
"157",1,2,97,3.8048217398944,2.37,1,1,1,100,112.5
"158",0,4,97,1.62007222031742,21.9,1,1,0,90,52.5
"159",0,2,90,2.78040964282136,3.3,1,1,1,96,127.5
"160",1,5,98,5.80390656224011,1.44,1,1,0,100,81
"161",1,2,98,5.56198271175677,6.08,0,0,1,100,97
"162",1,1,97,4.85882668667979,6.42,0,1,1,100,140
"163",0,2,88,1.18745204714926,8.58,0,0,0,100,57.5
"164",0,1,92,1.92192436002689,2.44,0,1,0,96,45
"165",0,5,94,1.8932367800432,2.29,0,1,0,96,45
"166",1,2,90,5.7619209747591,3.9,1,1,0,100,106.5
"167",0,2,80,2.76537294199157,0.3,1,1,1,96,119
"168",1,2,95,5.37345517939891,3.88,0,1,1,100,95
"169",1,2,95,5.43313189447805,2.5,1,1,1,100,150
"170",1,4,98,5.98432583091162,1.8,1,1,1,100,118.75
"171",0,2,95,9.68516832713118,2.52,0,1,0,100,48
"172",1,1,97,4.47125723191115,1.24,0,1,1,100,116
"173",1,3,97,9.14640542696618,11.28,1,1,1,92,61.6666666666667
"174",1,7,97,6.13173211453828,0.39,1,0,0,NA,110.714285714286
"175",1,4,94,8.30290702143056,0.45,0,1,0,100,62.5
"176",0,1,88,6.90077938594493,29.1,0,0,0,100,102
"177",1,2,100,1.58603790449007,2.76,1,1,1,100,200
"178",1,4,100,5.33093841508089,1.5,1,1,0,90,115
"179",1,8,96,5.48570770983318,1.56,1,1,0,100,96.875
"180",1,6,98,8.58023528973555,2.19,1,1,1,100,100
"181",1,2,98,5.95959173595308,3.92,1,0,1,100,130
"182",1,2,82,8.58580513773461,5.7,0,1,0,74,47.5
"183",0,4,98,5.38432635927718,3.48,1,1,1,100,96
"184",1,1,96,8.66407277501509,3.6,0,1,0,74,60
"185",0,2,96,9.60359190234657,6.81,1,0,0,100,196
"186",0,2,97,6.52990781102015,4.76,1,1,1,100,114.5
"187",1,6,97,2.56803627374626,3.99,1,1,0,100,95.8333333333333
"188",0,5,99,0.992881050501526,2.1,1,1,1,100,165
"189",1,2,94,5.28066236984107,9,1,0,0,83,95
"190",1,1,97,9.20438321238406,1.64,0,1,0,100,83
"191",1,4,97,5.29707170810547,3.81,1,1,1,100,111.75
"192",1,2,94,2.72530078661027,11.1,1,1,0,100,119
"193",0,2,100,3.52736233400731,1.8,1,0,0,NA,200
"194",1,2,99,4.78699392344072,2.22,1,1,1,100,236.5
"195",0,1,98,5.46776241460387,6.3,0,0,1,100,149
"196",1,1,100,2.7696550739534,1.2,0,1,0,100,168
"197",1,8,100,5.3802449712807,1.32,1,1,0,NA,115
"198",0,2,98,9.24954315253057,0.42,0,1,0,100,72.5
"199",1,2,93,5.07138523761685,0.24,0,1,1,100,107
"200",1,4,93,7.2640169701604,1.08,1,0,0,100,75
"201",1,4,96,4.47364577148657,11.7,1,1,1,100,77.5
"202",1,2,99,7.10184765341553,3.22,0,1,1,100,117.5
"203",1,1,96,5.7047695175119,13.5,0,1,1,100,118
"204",1,2,97,5.61926365660464,8.14,0,1,1,100,82.5
"205",1,2,69,8.74104792609302,6.6,0,1,0,74,42.5
"206",1,2,83,8.66814645901597,8.4,0,1,0,74,47.5
"207",1,3,90,5.76351418995443,6.2,0,1,1,100,65
"208",1,2,100,4.22590311676521,0.64,0,1,1,100,95
"209",0,2,NA,9.18539824209185,0,0,1,0,100,42.5
"210",1,2,97,5.66372794854171,2.44,0,1,1,100,85
"211",0,4,NA,2.68854586709275,1.5,1,1,0,67,150
"212",1,6,95,5.70071198056875,1.41,1,1,1,100,104
"213",0,1,90,6.36361086426417,3.6,0,0,0,100,105
"214",1,8,98,5.1789291020802,0.7,1,1,0,NA,109
"215",1,2,93,5.22167114352565,9.21,1,1,0,100,90
"216",1,6,96,6.9118690474347,0.56,1,1,0,100,96.6666666666667
"217",1,2,97,7.01106293825435,5.91,0,0,1,100,86
"218",1,2,97,5.52495876863103,5.76,1,1,1,100,165
"219",1,4,96,7.3137919179528,25.2,1,0,1,100,44.75
"220",1,4,100,5.33899747113732,0.76,1,1,0,100,126.25
"221",0,6,96,5.93449037988948,0.76,1,1,0,NA,141.666666666667
"222",1,4,98,7.56149857218537,2.61,1,0,1,100,62.25
"223",0,2,96,1.72004808586133,6.9,1,1,1,100,145
"224",1,2,97,5.0719782290007,6.56,0,1,1,100,97
"225",1,2,96,4.47646252423382,3.36,1,0,0,88,197
"226",1,3,95,5.78517424617285,7.2,1,1,1,100,89.6666666666667
"227",1,4,99,5.72914586201177,6.9,0,0,1,100,85.5
"228",1,1,97,5.51537959973637,8.68,0,1,1,100,118
"229",1,2,89,6.43329153768969,7.17,1,0,0,56,105
"230",0,2,95,2.76292949478882,3.3,1,1,1,96,112
"231",0,1,96,1.85825856176066,3.3,0,1,0,100,30
"232",0,1,100,1.81535173484851,3.6,0,1,0,100,30
"233",0,1,94,1.79836484794843,2.7,0,1,0,100,30
"234",1,2,99,8.35905596941145,6.06,0,1,1,100,105.5
"235",1,2,95,5.56537909231348,1.34,0,1,1,100,95.5
"236",1,2,97,5.5831335906066,0.31,0,1,1,100,92
"237",1,9,90,5.57734988123186,0.31,1,1,1,100,72.1111111111111
"238",1,2,98,3.7843283140151,6.6,1,0,0,NA,181
"239",1,6,99,9.68097948811546,5.52,1,0,1,100,80.6666666666667
"240",0,5,100,7.59699471489915,2.7,1,1,1,100,108
"241",1,7,87,4.00944666637655,6.9,1,1,0,83,35.7142857142857
"242",0,2,97,3.97196671547072,1.38,0,1,1,100,64.5
"243",1,6,93,3.62570423854219,1.41,1,1,0,100,87.5
"244",1,4,100,9.22962048690193,0.96,1,1,0,100,102.5
"245",1,2,100,0.862517100460349,0.9,0,1,0,90,174
"246",0,2,97,9.06730543569683,9.52,1,0,1,100,100
"247",1,2,99,6.83630297123488,6.63,1,0,1,100,102.5
"248",0,12,92,0.763923138324317,0.42,1,1,0,100,195
"249",0,4,94,4.57720590215192,0.87,1,1,0,NA,95
"250",1,2,98,4.57653454797065,2.9,0,1,1,100,90
"251",0,1,100,1.84139921174595,0.3,0,1,0,96,30
"252",1,6,97,9.42497319154727,5.42,0,1,1,100,58.3333333333333
"253",1,2,94,5.84631297171893,3.04,1,1,1,100,79.5
"254",1,6,95,7.61005134922238,0.78,1,1,1,NA,58.3333333333333
"255",1,6,96,8.33721545962254,2.44,1,1,1,100,125
"256",1,4,94,7.6927902087457,1.18,1,1,0,100,78.75
"257",0,5,89,5.98460101856142,1.04,1,1,0,100,63
"258",0,6,98,6.11236760803565,8.16,0,1,1,100,116.5
"259",1,5,96,4.18268880003443,1.17,1,0,1,71,95
"260",1,2,98,4.33242626633969,3.27,0,0,1,71,77.5
"261",1,2,97,9.04525725249045,2.72,1,1,0,100,150
"262",1,4,92,6.67588981719553,5.22,1,0,0,100,63.75
"263",0,2,96,5.52920781220495,7.14,1,0,1,100,80
"264",1,4,97,6.55443502190845,2.19,1,1,1,100,111.25
"265",1,2,98,1.78381227404094,1.8,1,1,1,100,207
"266",0,8,87,7.28381700840224,2.4,1,1,0,100,63.125
"267",0,4,91,7.24259397053453,0.72,1,0,0,NA,83.75
"268",1,2,97,4.69215284753835,22.5,1,1,1,100,105
"269",1,2,97,5.55227402781156,10.38,0,1,1,100,85
"270",1,4,100,4.83530487904887,0.45,1,0,0,100,173.75
"271",1,2,99,0.815181749746081,26.97,1,0,0,NA,123
"272",1,6,95,5.39310335300418,1.59,1,1,1,100,107.5
"273",1,2,96,8.09829723794705,10.5,0,0,0,NA,150
"274",1,1,97,9.32082068580347,0.35,0,0,1,100,170
"275",1,2,100,10.2163611144591,1.92,0,1,1,100,81
"276",1,8,99,8.12484529643661,1.12,1,1,0,100,81.125
"277",1,2,89,8.72547305159927,5.1,0,0,0,74,49
"278",1,8,97,5.32590919964369,1.36,1,1,1,100,118.75
"279",0,2,96,6.69113016311716,8.51,1,0,1,100,67
"280",0,7,99,2.37501597123471,1.28,1,1,1,100,191.428571428571
"281",0,2,97,7.28050941924867,5.04,1,0,1,100,102
"282",1,3,100,5.30525370066391,0.7,1,1,0,100,123.333333333333
"283",0,5,98,4.8580621547555,0.81,1,1,0,100,118
"284",0,3,100,6.98568283023274,9.64,0,1,1,100,68.3333333333333
"285",1,4,97,5.2329164753943,7.6,0,1,1,100,63.25
"286",1,2,99,1.36813198378476,0.42,1,1,0,NA,150
"287",0,2,97,7.24005257732914,14,0,0,1,100,55
"288",1,1,98,8.53614432080955,8.18,0,0,1,100,68
"289",1,6,100,4.84180862522616,0.56,1,1,0,100,103.333333333333
"290",1,3,100,5.27764299087339,0.32,0,1,1,100,86.3333333333333
"291",1,8,99,6.16598542482524,0.88,1,0,0,100,162.375
"292",1,4,100,4.27414453742112,0.6,1,1,0,NA,100
"293",1,1,97,4.12982138897581,2.2,0,1,0,100,153
"294",0,5,95,1.67396303718503,10.95,1,1,1,100,65.8
"295",1,8,100,1.8472885453315,0.4,1,1,0,NA,174.875
"296",1,2,95,7.08975355956082,12.16,1,1,0,100,94
"297",0,2,95,6.56144141394141,7.89,1,0,1,100,62
"298",1,6,99,5.17733237052215,2.61,1,1,1,100,100
"299",1,6,96,1.38230773595642,1.4,1,1,0,100,132.5
"300",1,2,100,6.82648487827809,0.84,1,0,0,100,172.5
"301",1,2,92,5.68368992690128,0.56,0,1,1,100,124
"302",1,2,83,5.57297866883126,6.9,1,1,0,100,110
"303",1,1,98,4.32878028536361,8.02,0,1,1,100,95
"304",1,2,96,5.53542771161561,9.39,0,1,1,100,80
"305",1,2,97,3.98145310758855,20.7,1,0,0,100,77.5
"306",0,5,100,4.18392085497292,1.2,1,1,0,100,120
"307",1,6,98,7.23685072754435,0.45,1,1,0,NA,187.5
"308",1,1,100,5.36964046632613,3.72,0,1,1,100,132
"309",1,2,90,6.78313489416821,18.3,0,0,0,100,69.5
"310",1,6,97,5.44666412757908,1.83,1,1,1,100,108.333333333333
"311",1,6,92,1.5988905146276,5.6,1,0,0,83,95
"312",1,4,96,3.16368265989973,13.2,1,1,0,100,32
"313",1,2,100,6.90390721420743,1.2,0,0,0,100,97.5
"314",1,4,96,5.54561302247134,1.29,0,1,1,100,85
"315",0,1,94,8.08158634594105,9.61,0,1,0,100,95
"316",0,2,100,7.54924124304989,3.3,1,1,1,100,147.5
"317",1,2,96,3.27516465196658,0.19,0,1,1,100,160
"318",1,15,97,3.22485948272391,1.31,1,1,1,100,68.3333333333333
"319",1,4,99,4.74068247947706,0.66,1,1,0,80,200
"320",1,4,100,6.95335873011331,4.2,1,1,0,NA,94.5
"321",1,2,95,1.31067137839975,13.8,0,1,1,100,140
"322",1,4,99,10.1345024810896,3.26,1,1,1,100,103.75
"323",1,2,96,7.52137288480337,8.88,0,1,1,100,62
"324",1,2,95,8.37431102894913,3.74,0,1,1,100,65
"325",1,2,99,7.0862702414178,10.29,0,1,1,100,57.5
"326",1,10,100,6.80468858512284,2.1,1,1,0,100,88
"327",1,4,100,1.47416958176256,1.8,1,1,0,NA,49.75
"328",0,2,100,5.9828588050753,2.25,1,1,0,60,211
"329",1,7,97,5.6102006151811,1.36,1,1,1,100,68.5714285714286
"330",1,2,93,6.12723456756758,9.16,0,0,1,100,103
"331",1,6,97,6.10782252046268,0.56,1,1,1,100,125
"332",1,6,99,5.26168140450296,2.13,1,1,0,NA,90.8333333333333
"333",1,2,98,4.82951555172815,13.59,1,1,1,100,80
"334",1,2,97,6.24792218101983,6.02,1,0,1,100,100
"335",1,1,NA,4.02674308235564,0,0,1,0,NA,67
"336",1,1,86,8.76100600888248,6.3,0,0,0,74,65
"337",0,6,99,5.73806731580485,1.52,1,1,0,100,108.333333333333
"338",1,4,97,5.00484167357763,3,1,1,1,100,140
"339",1,5,96,5.8259686737932,6.47,1,0,1,100,52
"340",0,4,100,4.94310089497163,1.5,1,1,0,NA,82.5
"341",1,4,99,5.13550948196013,27.9,1,1,0,100,77.5
"342",1,2,96,8.77280432229926,13.64,1,1,1,100,66.5
"343",1,2,95,5.35970437478824,7.41,1,1,1,100,92.5
"344",1,6,96,5.89739310009556,15.6,0,1,0,100,89.6666666666667
"345",1,4,96,5.05785810312106,0.84,1,1,1,100,108
"346",1,2,98,10.0633253756752,5.31,1,1,1,100,106.5
"347",1,2,97,3.11212813225528,19.2,1,1,0,100,147.5
"348",0,2,98,6.7050200029885,9.9,1,1,1,100,92
"349",1,2,92,6.25157707232835,7.2,1,1,0,100,72.5
"350",1,6,98,6.37507470907965,0.85,1,1,0,56,128.333333333333
"351",0,3,95,2.31215971222871,9.3,1,1,0,100,114
"352",0,2,100,5.4303249726578,0.14,0,1,0,60,119
"353",0,5,94,0.232753320857182,4.5,1,0,0,100,104
"354",0,2,72,2.00927956301246,3,1,1,1,100,61.5
"355",1,3,97,5.83351914550486,4.02,0,1,1,100,84.6666666666667
"356",1,3,98,5.76369291055802,7.65,0,0,1,100,56.6666666666667
"357",1,2,98,5.90123829522217,7.74,0,0,1,100,80
"358",1,3,98,4.46236228355437,25.5,1,1,1,100,161.666666666667
"359",1,6,95,4.89383877099344,9.6,1,1,0,100,83.3333333333333
"360",0,3,96,2.18265863200373,8.1,1,0,1,100,138.333333333333
"361",0,4,96,7.77981841118359,4.06,1,1,0,100,81.25
"362",1,3,97,5.71063464898685,3.85,1,1,1,100,199.666666666667
"363",1,8,96,7.80559707308398,2.34,1,1,0,100,75.625
"364",0,2,95,5.78837267760462,2.88,0,1,0,90,77.5
"365",1,2,98,7.33211751271967,7.14,1,0,1,100,107
"366",1,2,97,5.35872435654159,9.38,0,0,1,100,175
"367",1,6,99,5.98403342074326,2.56,1,1,1,100,107.5
"368",1,2,95,4.41752357559973,6.6,0,1,0,100,101.5
"369",1,3,98,6.42808372351944,2.89,0,1,1,100,91.6666666666667
"370",1,4,74,3.10447030179016,7.32,1,1,0,NA,112.5
"371",0,3,99,5.54425759697342,6.6,1,1,1,100,141.666666666667
"372",1,6,92,8.79479768319371,5.94,1,0,0,90,55
"373",1,3,99,4.38739005883898,7.5,1,0,1,100,91.6666666666667
"374",1,4,95,10.2172424837778,0.84,1,0,0,NA,63.75
"375",1,2,99,3.10424006877748,3.32,1,1,1,100,197.5
"376",1,2,98,3.83549775371451,6.48,0,0,1,100,80
"377",1,2,99,1.06198447679279,14.4,0,1,1,100,105
"378",0,2,94,1.19851556303493,0.6,1,0,0,NA,177.5
"379",1,1,95,9.37015916756013,5.7,0,1,1,100,90
"380",1,4,100,2.69353759775697,7.2,1,1,0,100,154.75
"381",0,6,87,6.99790826662439,0.75,1,1,0,100,53.3333333333333
"382",1,6,100,4.14290888828106,5.04,1,0,1,100,154
"383",1,4,93,7.65536078623762,3.03,1,1,1,100,62.5
"384",1,3,83,1.62946686458689,4,1,1,0,NA,58.3333333333333
"385",1,3,76,2.84844712169034,3.6,1,1,0,86,140
"386",0,2,88,6.96548078001599,3.9,1,1,0,100,137.5
"387",1,4,94,4.24150596540027,1.2,1,1,0,100,99.75
"388",1,2,89,11.0881673565115,9.51,0,0,0,90,50
"389",1,2,88,10.9855616471066,8.61,0,0,0,90,47.5
"390",1,4,93,4.09015940781894,0.25,1,0,0,100,420
"391",1,2,89,10.9747772045915,7.71,0,0,0,90,47.5
"392",1,2,99,3.63800717432188,3.39,1,1,1,100,175
"393",1,1,100,5.09688442804287,1.77,0,1,1,100,238
"394",1,2,97,5.68027762209485,2.48,0,1,0,NA,80
"395",1,2,97,4.71231628576687,7.84,0,0,1,100,94.5
"396",0,2,100,3.25613014414168,0.3,1,1,1,96,133
"397",1,3,96,5.09169438277795,14.4,1,1,0,100,225
"398",1,1,100,4.10045317668871,1.52,0,0,1,100,225
"399",1,4,99,4.61633938376593,2,1,1,1,100,162.25
"400",1,5,97,7.41078205652779,3.12,1,1,0,100,102
"401",0,2,73,5.39498790785358,1.5,0,1,0,75,85
"402",0,3,NA,1.33907776055995,0,1,1,0,NA,68.3333333333333
"403",1,6,95,3.37283717675426,0.1,1,1,0,NA,109.166666666667
"404",1,3,93,1.59070318574676,0.39,1,1,1,100,205
"405",1,3,97,6.87500797550636,6.76,1,1,1,NA,81.6666666666667
"406",1,1,96,0.540851386220177,2.91,0,1,1,100,203
"407",1,4,91,4.33320236280505,0.44,1,1,0,100,117.25
"408",1,6,100,1.64857342237956,0.16,1,1,1,100,137.5
"409",1,1,92,6.47740155453534,11.1,1,1,0,NA,356
"410",1,2,98,5.78011175561481,15.3,1,1,0,NA,347.5
"411",1,2,100,3.41380061026388,0.9,1,1,0,90,224.5
"412",1,2,97,6.59165726584923,9.6,0,1,1,95,60
"413",1,1,100,4.67334057924835,11.44,0,1,1,100,113
"414",0,4,98,5.61482089737115,27,1,1,1,100,75
"415",1,10,99,7.11367626421062,0.68,1,1,1,100,110.9
"416",0,2,99,5.24215277477998,5.49,1,1,1,100,175
"417",1,1,90,3.76197476133955,4.5,0,1,0,100,87
"418",1,5,95,5.9236250225324,21.45,1,1,1,100,71
"419",1,2,84,4.20610359044324,13.5,1,1,0,100,100
"420",1,6,100,2.2353902139627,0.65,1,1,0,100,190
"421",1,4,95,5.38184938603516,24.6,1,1,0,100,28.75
"422",1,2,97,5.43244855150176,1.9,0,1,1,NA,195
"423",1,4,95,5.38482575722177,2.34,1,1,1,100,75
"424",1,2,94,3.69149373656684,7.5,1,1,1,100,152.5
"425",0,3,100,5.72752389714598,2.1,1,1,0,NA,65.3333333333333
"426",1,4,97,4.46636303143082,7.04,1,1,0,100,100
"427",1,1,98,8.45639544947731,16.8,0,1,0,100,89
"428",0,2,96,3.9144254762508,19.8,1,1,0,100,118
