"Monetary_score","Total_quantity","recency_score","days_customer","churn"
3380,338,49,9642,"0"
6425,106,21,9641,"0"
19431.6,782,3,9641,"0"
3870,55,2,9641,"0"
6635,219,22,9544,"0"
3505,67,22,9641,"0"
6863,406,15,9642,"0"
3206,35,7,9597,"0"
34299.2,499,2,9590,"0"
28949.4,1213,8,9604,"0"
99917,2713,0,9590,"0"
23992.8,541,1,9599,"0"
4901,209,30,9599,"0"
38081.29,3069,1,9606,"0"
46791,1007,10,9600,"0"
10161,278,24,9660,"0"
49041,2278,3,9660,"0"
14060,151,3,8786,"0"
4187,240,16,9660,"0"
8744.6,526,7,9660,"0"
14599,517,0,9660,"0"
9540,127,31,9660,"0"
21902,912,0,9925,"0"
26613,1167,1,9761,"0"
1975,112,2,9862,"0"
30580,385,2,9575,"0"
75244.6,2821,7,9576,"0"
5535,70,49,9576,"0"
56138,2562,3,9905,"1"
6525,82,28,8812,"0"
15381,652,23,9072,"0"
2159.2,125,15,8841,"0"
2185,32,22,8730,"0"
19047,519,6,9660,"0"
4535,50,7,9660,"0"
33694,588,1,9660,"0"
4335,54,58,8752,"0"
120177,1401,2,9505,"0"
3335,164,29,9423,"0"
1753,101,50,9422,"0"
3396.4,149,24,9382,"0"
2157.4,126,38,9375,"0"
82420,867,34,9262,"0"
76238,6135,2,9289,"0"
103062,8395,2,9285,"0"
4106,231,7,9256,"0"
3630.4,152,24,9128,"0"
2725,45,56,8862,"0"
3315,37,13,9101,"0"
1780.4,44,13,9005,"0"
44160.28,33851,3,9660,"0"
72098.51,15712,0,9660,"0"
7130.8,536,20,9660,"0"
7102.8,411,1,9716,"0"
19326,1315,0,8827,"0"
1425.8,81,8,9660,"0"
35153.79,3001,0,9660,"0"
19738,1012,1,9660,"0"
6415,121,52,9660,"0"
2263,129,22,9660,"0"
8953.72,2966,21,9660,"0"
18162.6,238,7,9660,"0"
35479.45,1135,0,9897,"0"
23651.12,619,2,8703,"0"
2002,115,35,9632,"0"
26632.1,776,13,9705,"0"
35802.28,1455,1,9705,"0"
45278.9,1404,0,9670,"0"
1545,20,13,8751,"0"
24722.52,362,13,9593,"0"
12435,160,23,9605,"0"
46345,614,1,8851,"0"
9780,455,29,9605,"0"
26400,2933,13,8883,"0"
289001.15,12693,2,8758,"0"
11253,395,23,8753,"0"
9054,557,9,8749,"0"
12098,469,9,8516,"0"
16411.77,7478,0,8516,"0"
24302.5,587,9,8516,"0"
4422,223,29,8516,"0"
836,43,8,8516,"0"
21925,738,8,8516,"0"
3750,180,21,8516,"0"
41196.8,2180,0,8516,"0"
28376,1103,13,8516,"0"
771038.79,35413,1,8516,"0"
34295.2,1546,7,8516,"0"
3605,210,30,8516,"0"
5254,302,35,8516,"0"
60254.2,2212,28,8516,"0"
28486,1629,2,8516,"0"
2276,30,15,8516,"0"
54160.6,2538,37,8516,"0"
9304,507,9,8516,"0"
9595,123,45,8516,"0"
3073.8,157,23,8516,"0"
3540.8,266,28,8516,"0"
111148.4,8661,1,8516,"0"
27446,1510,21,8516,"0"
6889,457,15,8516,"0"
16228.6,684,7,8516,"0"
20591,1200,14,8516,"0"
55277.4,2867,2,8516,"0"
50047.83,1488,7,8516,"0"
1707,80,42,8516,"1"
4680,266,10,8516,"0"
1806,103,31,8516,"0"
14680,519,38,8516,"0"
4406,107,0,8516,"0"
5806,242,38,8516,"0"
5580,236,6,8516,"0"
6794,465,1,8516,"0"
6351,363,14,8516,"0"
23584,1009,14,8516,"0"
2554.8,149,2,8516,"0"
4466.32,3551,20,8516,"0"
6755,355,0,8516,"0"
27564,1326,0,8516,"0"
10219.2,502,2,8516,"0"
2253,128,3,8516,"0"
2468,142,37,8516,"0"
3127,179,1,8516,"0"
2811,160,8,8516,"0"
